algorithm, heuristic, disk_num, moves, solution found?, total cpu ticks, heuristic cpu ticks,
rbfs, admissible, 4, 8, 1, 4199, 0,
rbfs, admissible, 4, 8, 1, 30, 0,
rbfs, admissible, 4, 9, 1, 141, 0,
rbfs, admissible, 4, 9, 1, 130, 1,
rbfs, admissible, 4, 8, 1, 23, 0,
rbfs, admissible, 4, 0, 1, 0, 0,
rbfs, admissible, 4, 9, 1, 430, 0,
rbfs, admissible, 4, 9, 1, 320, 0,
rbfs, admissible, 4, 8, 1, 20, 0,
rbfs, admissible, 4, 8, 1, 29, 0,
rbfs, admissible, 4, 6, 1, 4, 0,
rbfs, admissible, 4, 9, 1, 167, 0,
rbfs, admissible, 4, 8, 1, 18, 0,
rbfs, admissible, 4, 6, 1, 8, 0,
rbfs, admissible, 4, 9, 1, 330, 0,
rbfs, admissible, 4, 7, 1, 28, 0,
rbfs, admissible, 4, 9, 1, 149, 0,
rbfs, admissible, 4, 4, 1, 1, 0,
rbfs, admissible, 4, 8, 1, 19, 0,
rbfs, admissible, 4, 9, 1, 259, 0,
rbfs, non-admissible, 4, 9, 1, 623, 2,
rbfs, non-admissible, 4, 10, 1, 690, 1,
rbfs, non-admissible, 4, 8, 0, 1133, 0,
rbfs, non-admissible, 4, 8, 0, 770, 1,
rbfs, non-admissible, 4, 10, 1, 673, 0,
rbfs, non-admissible, 4, 0, 1, 0, 0,
rbfs, non-admissible, 4, 9, 0, 870, 0,
rbfs, non-admissible, 4, 7, 0, 808, 1,
rbfs, non-admissible, 4, 10, 1, 836, 0,
rbfs, non-admissible, 4, 10, 1, 709, 0,
rbfs, non-admissible, 4, 6, 1, 33, 0,
rbfs, non-admissible, 4, 7, 0, 759, 0,
rbfs, non-admissible, 4, 10, 1, 622, 1,
rbfs, non-admissible, 4, 7, 1, 42, 1,
rbfs, non-admissible, 4, 8, 0, 834, 1,
rbfs, non-admissible, 4, 7, 1, 80, 0,
rbfs, non-admissible, 4, 7, 0, 856, 0,
rbfs, non-admissible, 4, 4, 1, 3, 0,
rbfs, non-admissible, 4, 8, 0, 847, 2,
rbfs, non-admissible, 4, 7, 0, 793, 1,
